bovis	mt	gene	v/i	mb_call	mt_call
Mb0774c	Rv0752c	fadE9	v	NE	NE
Mb0775c	Rv0753c	mmsA	v	NE	NE
Mb0776	Rv0754	PE_PGRS11	i	NE	NE
Mb0777c	Rv0755c	PPE12	v	NE	GD
Mb0778c	Rv0755A		i	NE	N/A
Mb0779c	Rv0756c		i	NE	NE
Mb0780	Rv0757	phoP	i	NE	NE
Mb0781	Rv0758	phoR	v	NE	NE
Mb0782c	Rv0759c		i	NE	NE
Mb0783c	Rv0760c		i	NE	NE
Mb0784c	Rv0761c	adhB	i	NE	NE
Mb0785c	Rv0762c		i	NE	NE
Mb0786c	Rv0763c		i	NE	NE
Mb0787c	Rv0764c	cyp51	i	NE	NE
Mb0788c	Rv0765c		i	NE	NE
Mb0789c	Rv0766c	cyp123	i	NE	NE
Mb0790c	Rv0767c		i	NE	NE
Mb0791	Rv0768	aldA	i	NE	NE
Mb0792	Rv0769		v	NE	NE
Mb0793	Rv0770		v	NE	NE
Mb0794	Rv0771		i	ES	NE
Mb0795	Rv0772	purD	i	NE	ES
Mb0796c	Rv0773c	ggtA	i	NE	NE
Mb0797c	Rv0774c		v	NE	NE
Mb0798	Rv0775		i	NE	NE
Mb0799c	Rv0776c		i	ES	NE
Mb0800	Rv0777	purB	v	NE	ES
Mb0801	Rv0778	cyp126	i	NE	NE
Mb0802c	Rv0779c		i	ES	NE
Mb0803	Rv0780	purC	i	NE	ES
Mb0804	Rv0781		v	NE	N/A
Mb0805c	Rv0783c	emrB	i	NE	NE
Mb0806	Rv0784		i	NE	NE
Mb0807	Rv0785		v	NE	NE
Mb0808	Rv0785		v	NE	NE
Mb0809c	Rv0786c		i	NE	NE
Mb0810	Rv0787		v	ES	NE
Mb0811	Rv0787A		i	ES	ES
Mb0812	Rv0788	purQ	i	NE	ES
Mb0813c	Rv0789c		i	NE	NE
Mb0814c	Rv0790c		i	NE	NE
Mb0815c	Rv0791c		i	NE	NE
Mb0816c	Rv0792c		i	NE	NE
Mb0817	Rv0793		i	NE	NE
Mb0818c	Rv0794c		v	NE	NE
Mb0819c	Rv0794c		v	NE	NE
Mb0820	Rv0797		v	NE	NE
Mb0821c	Rv0798c	cfp29	i	NE	NE
Mb0822c	Rv0799c		i	NE	NE
Mb0823	Rv0800	pepC	v	NE	NE
Mb0824	Rv0801		i	NE	NE
Mb0825c	Rv0802c		i	ES	NE
Mb0826	Rv0803	purL	i	NE	ES
Mb0827	Rv0804		i	NE	NE
Mb0828	Rv0805		i	NE	NE
Mb0829c	Rv0806c	cpsY	i	NE	NE
Mb0830	Rv0807		i	ES	NE
Mb0831	Rv0808	purF	i	GD	GD
Mb0832	Rv0809	purM	i	NE	GD
Mb0833c	Rv0810c		i	ES	ES
Mb0834c	Rv0811c		i	NE	ES
Mb0835	Rv0812		v	NE	GD
Mb0836c	Rv0813c		i	NE	GA
Mb0837c	Rv0814c		i	NE	GA
Mb0838c	Rv0815c	cysA2	i	NE	GA
Mb0839c	Rv0816c	thiX	i	ES	GA
Mb0840c	Rv0817c		i	NE	GD
Mb0841	Rv0818		v	NE	GA
Mb0842	Rv0819	mshD	i	NE	GA
Mb0843	Rv0820	phoT	v	NE	GA
Mb0844c	Rv0821c	phoY2	i	NE	GA
Mb0845c	Rv0822c		v	NE	GA
Mb0846c	Rv0823c		v	ES	GA
Mb0847c	Rv0824c	desA1	i	NE	ES
Mb0848c	Rv0825c		i	NE	GA
Mb0849	Rv0826		v	NE	GA
Mb0850c	Rv0827c	kmtR	i	NE	GA
Mb0851c	Rv0828c		i	NE	GA
Mb0852	Rv0829		v	NE	N/A
Mb0853	Rv0830		i	NE	GA
Mb0854c	Rv0831c		i	NE	GA
Mb0855	Rv0832	PE_PGRS12	i	NE	NE
Mb0856	Rv0833	PE_PGRS13	v	NE	NE
Mb0857c	Rv0834c	PE_PGRS14	v	NE	NE
Mb0858	Rv0835	lpqQ	v	NE	NE
Mb0859c	Rv0836c		v	NE	NE
Mb0860c	Rv0837c		i	NE	NE
Mb0861	Rv0838	lpqR	v	NE	NE
Mb0862	Rv0839		i	NE	NE
Mb0863c	Rv0840c	pip	i	NE	NE
Mb0864	Rv0841		v	NE	NE
Mb0865	Rv0842		i	NE	NE
Mb0866	Rv0843		v	NE	NE
Mb0867c	Rv0844c	narL	v	NE	NE
Mb0868	Rv0845		v	NE	NE
Mb0869c	Rv0846c		v	NE	NE
Mb0870	Rv0847	lpqS	v	NE	NE
Mb0871	Rv0848	cysK2	v	NE	NE
Mb0872	Rv0849		i	NE	NE
Mb0873	Rv0850		i	NE	N/A
Mb0874c	Rv0851c		v	NE	NE
Mb0875	Rv0852		i	NE	NE
Mb0876c	Rv0853c	pdc	i	NE	NE
Mb0877	Rv0854		i	NE	NE
Mb0878	Rv0855	far	i	NE	NE
Mb0879	Rv0856		i	NE	NE
Mb0880	Rv0857		i	NE	NE
Mb0881c	Rv0858c	dapC	i	GD	NE
Mb0882	Rv0859		v	GD	NE
Mb0883	Rv0860	fadB	v	NE	NE
Mb0884c	Rv0861c	ercc3	v	NE	NE
Mb0885c	Rv0862c		v	NE	NE
Mb0886	Rv0863		i	NE	NE
Mb0888	Rv0864	moaC2	v	NE	NE
Mb0889	Rv0865	mog	i	NE	NE
Mb0890	Rv0866	moaE2	i	NE	GA
Mb0891c	Rv0867c	rpfA	v	NE	GA
Mb0892c	Rv0868c	moaD2	i	NE	NE
Mb0893c	Rv0869c	moaA2	i	NE	NE
Mb0894c	Rv0870c		v	NE	NE
Mb0895	Rv0871	cspB	i	NE	NE
Mb0896c	Rv0872c	PE_PGRS15	v	NE	NE
Mb0897	Rv0873	fadE10	i	NE	NE
Mb0898c	Rv0874c		i	NE	NE
Mb0899c	Rv0875c		i	NE	NE
Mb0900c	Rv0876c		v	NE	NE
Mb0901	Rv0877		i	NE	GA
Mb0902c	Rv0878c	PPE13	v	NE	GA
Mb0903c	Rv0879c		i	NE	NE
Mb0904	Rv0880		i	NE	NE
Mb0905	Rv0881		v	NE	NE
Mb0906	Rv0882		i	NE	NE
Mb0907c	Rv0883c		i	NE	NE
Mb0908c	Rv0884c	serC	i	NE	ES
Mb0909	Rv0885		i	NE	NE
Mb0910	Rv0886	fprB	i	NE	NE
Mb0911c	Rv0887c		i	NE	NE
Mb0912	Rv0888		i	NE	NE
Mb0913c	Rv0889c	citA	i	NE	NE
Mb0914c	Rv0890c		v	NE	NE
Mb0915c	Rv0891c		v	NE	NE
Mb0916	Rv0892		i	NE	NE
Mb0917c	Rv0893c		i	NE	NE
Mb0918	Rv0894		i	NE	NE
Mb0919	Rv0895		i	ES	NE
Mb0920	Rv0896	gltA2	v	NE	GD
Mb0921c	Rv0897c		i	NE	NE
Mb0922c	Rv0898c		i	NE	NE
Mb0923	Rv0899	arfA	i	NE	NE
Mb0924	Rv0900	arfB	i	NE	NE
Mb0925	Rv0901	arfC	i	ES	NE
Mb0926c	Rv0902c	prrB	i	GD	ES
Mb0927c	Rv0903c	prrA	i	GD	ES
Mb0928c	Rv0904c	accD3	i	NE	NE
Mb0929	Rv0905	echA6	i	NE	NE
Mb0930	Rv0906		i	NE	NE
Mb0931	Rv0907		v	NE	NE
Mb0932	Rv0908	ctpE	i	NE	NE
Mb0933	Rv0909		v	NE	NE
Mb0934	Rv0910		i	NE	NE
Mb0935	Rv0911		i	NE	NE
Mb0936	Rv0912		i	NE	NE
Mb0937c	Rv0913c		v	NE	NE
Mb0938c	Rv0914c		i	NE	NE
Mb0939c	Rv0915c	PPE14	i	GD	NE
Mb0940c	Rv0916c	PE7	i	NE	NE
Mb0941	Rv0917	betP	i	NE	NE
Mb0942	Rv0918		v	NE	NE
Mb0943	Rv0919		i	NE	NE
Mb0944c	Rv0920c		v	NE	NE
Mb0945	Rv0921		i	NE	NE
Mb0946	Rv0922		i	NE	NE
Mb0947c	Rv0923c		i	NE	NE
Mb0948c	Rv0924c	mntH	v	NE	NE
Mb0949c	Rv0926c		i	NE	NE
Mb0950c	Rv0927c		i	GD	NE
Mb0951	Rv0928	pstS3	i	GD	NE
Mb0952	Rv0929	pstC2	i	NE	NE
Mb0953	Rv0930	pstA1	v	NE	NE
Mb0954c	Rv0931c	pknD	v	NE	GA
Mb0955c	Rv0931c	pknD	v	NE	GA
Mb0956c	Rv0932c	pstS2	v	NE	NE
Mb0957	Rv0933	pstB	v	NE	NE
Mb0958	Rv0933	pstB	v	NE	NE
Mb0959	Rv0934	pstS1	v	NE	NE
Mb0960	Rv0935	pstC1	i	NE	NE
Mb0961	Rv0936	pstA2	i	NE	NE
Mb0962c	Rv0937c	mku	i	GD	NE
Mb0963	Rv0938	ligD	v	NE	NE
Mb0964	Rv0939		i	NE	NE
Mb0965c	Rv0940c		i	NE	NE
Mb0966c	Rv0941c		i	NE	NE
Mb0967	Rv0942		i	NE	NE
Mb0968c	Rv0943c		i	NE	NE
Mb0969	Rv0944		i	NE	NE
Mb0970	Rv0945		v	ES	NE
Mb0971c	Rv0946c	pgi	i	NE	NE
Mb0972c	Rv0947c		i	NE	N/A
Mb0973c	Rv0948c		i	GD	NE
Mb0974	Rv0949	uvrD1	i	NE	NE
Mb0975c	Rv0950c		i	ES	NE
Mb0976	Rv0951	sucC	v	ES	ES
Mb0977	Rv0952	sucD	v	NE	ES
Mb0978c	Rv0953c		i	NE	NE
Mb0979	Rv0954		i	ES	NE
Mb0980	Rv0955		i	ES	NE
Mb0981	Rv0956	purN	i	ES	ES
Mb0982	Rv0957	purH	i	NE	ES
Mb0983	Rv0958		v	NE	NE
Mb0984	Rv0959		i	NE	NE
Mb0984A	Rv0959A	vapB9	i	NE	NE
Mb0985	Rv0960	vapC9	i	NE	NE
Mb0986	Rv0961		i	NE	NE
Mb0987c	Rv0962c	lprP	v	NE	NE
Mb0988c	Rv0963c		i	NE	NE
Mb0989c	Rv0964c		v	NE	NE
Mb0990c	Rv0965c		v	NE	NE
Mb0991c	Rv0966c		v	NE	NE
Mb0992	Rv0967	csoR	i	NE	NE
Mb0993	Rv0968		i	NE	NE
Mb0994	Rv0969	ctpV	v	NE	NE
Mb0995	Rv0970		i	NE	NE
Mb0996c	Rv0971c	echA7	i	NE	NE
Mb0997c	Rv0972c	fadE12	v	NE	NE
Mb0998c	Rv0973c	accA2	v	ES	NE
Mb0999c	Rv0974c	accD2	v	NE	NE
Mb1000c	Rv0975c	fadE13	v	NE	NE
Mb1001c	Rv0976c		i	NE	NE
Mb1002	Rv0977	PE_PGRS16	i	NE	GA
Mb1003c	Rv0978c	PE_PGRS17	v	NE	GA
Mb1004c	Rv0979c		i	NE	GA
Mb1005	Rv0979A	rpmF	i	NE	GA
Mb1006c	Rv0980c	PE_PGRS18	v	NE	GA
Mb1007	Rv0981	mprA	v	ES	GA
Mb1008	Rv0982	mprB	v	NE	ES
Mb1009	Rv0983	pepD	v	NE	NE
Mb1010	Rv0984	moaB2	i	NE	NE
Mb1011c	Rv0985c	mscL	i	NE	NE
Mb1012	Rv0986		v	NE	NE
Mb1013	Rv0987		v	NE	NE
Mb1014	Rv0987		v	NE	NE
Mb1015	Rv0988		v	NE	NE
Mb1016c	Rv0989c	grcC2	v	NE	NE
Mb1017c	Rv0990c		v	NE	NE
Mb1018c	Rv0991c		i	NE	NE
Mb1019c	Rv0992c		v	ES	NE
Mb1020	Rv0993	galU	v	NE	ES
Mb1021	Rv0994	moeA1	v	NE	NE
Mb1022	Rv0995	rimJ	i	NE	NE
Mb1023	Rv0996		v	NE	NE
Mb1024	Rv0997		i	NE	NE
Mb1025	Rv0998		i	NE	NE
Mb1026	Rv0999		i	NE	NE
Mb1027c	Rv1000c		i	NE	NE
Mb1028	Rv1001	arcA	i	NE	NE
Mb1029c	Rv1002c		v	NE	GD
Mb1030	Rv1003		i	NE	NE
Mb1031c	Rv1004c		i	NE	NE
Mb1032c	Rv1005c		v	NE	ES
Mb1033	Rv1006		v	ES	GA
Mb1034c	Rv1007c	metS	v	NE	ES
Mb1035	Rv1008	tatD	v	NE	NE
Mb1036	Rv1009	rpfB	v	NE	NE
Mb1037	Rv1010	ksgA	i	ES	NE
Mb1038	Rv1011	ispE	i	NE	ES
Mb1040	Rv1012		v	NE	NE
Mb1041	Rv1013	pks16	i	ES	NE
Mb1042c	Rv1014c	pth	i	NE	GD
Mb1043c	Rv1015c	rplY	i	NE	GD
Mb1044c	Rv1016c	lpqT	v	ES	NE
Mb1045c	Rv1017c	prsA	i	ES	ES
Mb1046c	Rv1018c	glmU	v	ES	ES
Mb1047	Rv1019		i	NE	NE
Mb1048	Rv1020	mfd	i	NE	NE
Mb1049	Rv1021		i	NE	NE
Mb1050	Rv1022	lpqU	v	ES	NE
Mb1051	Rv1023	eno	v	ES	GD
Mb1052	Rv1024		i	ES	ES
Mb1053	Rv1025		i	NE	ES
Mb1054	Rv1026		i	NE	NE
Mb1055c	Rv1027c	kdpE	i	NE	NE
Mb1056c	Rv1028c	kdpD	v	NE	NE
Mb1057	Rv1028A	kdpF	i	NE	NE
Mb1058	Rv1029	kdpA	i	NE	NE
Mb1059	Rv1030	kdpB	i	NE	NE
Mb1060	Rv1031	kdpC	i	NE	NE
Mb1061c	Rv1032c	trcS	i	NE	NE
Mb1062c	Rv1033c	trcR	i	NE	GA
Mb1063c	Rv1034c		i	NE	N/A
Mb1064c	Rv1035c		i	NE	N/A
Mb1065c	Rv1036c		i	NE	N/A
Mb1066c	Rv1037c	esxI	v	NE	GA
Mb1067c	Rv1038c	esxJ	i	NE	GA
Mb1068c	Rv1039c	PPE15	i	NE	GA
Mb1069c	Rv1040c	PE8	i	NE	GA
Mb1070c	Rv1041c		v	NE	GA
Mb1071c	Rv1042c		v	NE	GA
Mb1072c	Rv1043c		v	NE	GA
Mb1073	Rv1044		i	NE	ES
Mb1074	Rv1045		v	NE	NE
Mb1075c	Rv1046c		v	NE	N/A
Mb1076	Rv1047		i	NE	NE
Mb1077c	Rv1048c		i	NE	NE
Mb1078	Rv1049		i	NE	NE
Mb1079	Rv1050		i	NE	NE
Mb1080c	Rv1051c		i	NE	NE
Mb1081	Rv1052		i	NE	NE
Mb1082c	Rv1053c		i	NE	N/A
Mb1083	Rv1054		i	NE	N/A
Mb1084	Rv1055		i	NE	N/A
Mb1085	Rv1056		i	NE	NE
Mb1086	Rv1057		i	NE	NE
Mb1087	Rv1058	fadD14	i	NE	NE
Mb1088	Rv1059		i	NE	NE
Mb1089	Rv1060		i	NE	NE
Mb1090	Rv1061		i	NE	NE
Mb1091	Rv1062		i	NE	NE
Mb1092c	Rv1063c		i	NE	NE
Mb1093c	Rv1064c	lpqV	i	NE	NE
Mb1094	Rv1065		i	NE	NE
Mb1095	Rv1066		i	NE	NE
Mb1096c	Rv1067c	PE_PGRS19	v	NE	NE
Mb1097c	Rv1068c	PE_PGRS20	v	NE	NE
Mb1098c	Rv1069c		i	NE	NE
Mb1099c	Rv1070c	echA8	i	NE	NE
Mb1100c	Rv1071c	echA9	i	NE	NE
Mb1101	Rv1072		i	NE	NE
Mb1102	Rv1073		i	NE	NE
Mb1103c	Rv1074c	fadA3	i	NE	NE
Mb1104c	Rv1075c		i	NE	NE
Mb1105	Rv1076	lipU	i	NE	NE
Mb1106	Rv1077	cbs	i	NE	NE
Mb1107	Rv1078		v	NE	NE
Mb1108	Rv1079	metB	i	NE	NE
Mb1109c	Rv1080c	greA	i	NE	NE
Mb1110c	Rv1081c		i	NE	NE
Mb1111	Rv1082	mca	i	NE	NE
Mb1112	Rv1083		i	NE	NE
Mb1113	Rv1084		i	NE	NE
Mb1114c	Rv1085c		i	ES	NE
Mb1115	Rv1086		v	NE	NE
Mb1116	Rv1087	PE_PGRS21	v	NE	NE
Mb1116A	Rv1087A		i	ES	N/A
Mb1117	Rv1088	PE9	i	NE	NE
Mb1118	Rv1089		v	NE	N/A
Mb1119	Rv1089A		i	NE	N/A
Mb1120	Rv1090		i	NE	N/A
Mb1121	Rv1091	PE_PGRS22	v	ES	NE
Mb1122c	Rv1092c	coaA	i	NE	ES
Mb1123	Rv1093	glyA1	v	ES	ES
Mb1124	Rv1094	desA2	i	NE	ES
Mb1125	Rv1095	phoH2	i	NE	NE
Mb1126	Rv1096		v	GD	NE
Mb1127c	Rv1097c		v	ES	NE
Mb1128c	Rv1098c	fum	i	NE	ES
Mb1129c	Rv1099c	glpX	i	NE	NE
Mb1130	Rv1100		i	NE	NE
Mb1131c	Rv1101c		v	NE	NE
Mb1132c	Rv1102c	mazF3	v	NE	NE
Mb1133c	Rv1103c	mazE3	i	NE	NE
Mb1134	Rv1104		i	NE	N/A
Mb1135	Rv1105		i	NE	N/A
Mb1136c	Rv1106c		i	NE	NE
Mb1137c	Rv1107c	xseB	i	NE	NE
Mb1138c	Rv1108c	xseA	i	NE	NE
Mb1139c	Rv1109c		i	NE	NE
Mb1140	Rv1110	lytB2	i	NE	ES
Mb1141c	Rv1111c		i	NE	NE
Mb1142	Rv1112		v	NE	NE
Mb1143	Rv1113	vapB32	i	NE	NE
Mb1144	Rv1114	vapC32	i	NE	NE
Mb1145	Rv1115		v	NE	NE
Mb1146	Rv1116		i	NE	NE
Mb1147c	Rv1116A		i	NE	N/A
Mb1148	Rv1117		i	NE	NE
Mb1149c	Rv1118c		i	NE	NE
Mb1150c	Rv1119c		i	NE	NE
Mb1151c	Rv1120c		v	NE	NE
Mb1152	Rv1121	zwf1	i	ES	NE
Mb1153	Rv1122	gnd2	i	NE	ES
Mb1154c	Rv1123c	bpoB	i	NE	NE
Mb1155	Rv1124	ephC	i	NE	NE
Mb1156	Rv1125		v	NE	NE
Mb1157c	Rv1126c		i	NE	NE
Mb1158c	Rv1127c	ppdK	v	NE	NE
Mb1159c	Rv1128c		v	NE	NE
Mb1160c	Rv1129c		i	NE	NE
Mb1161	Rv1130	prpD	v	ES	NE
Mb1162	Rv1131	prpC	i	GD	NE
Mb1163	Rv1132		v	ES	NE
Mb1164c	Rv1133c	metE	i	NE	ES
Mb1165	Rv1134		i	NE	NE
Mb1166c	Rv1135c	PPE16	i	NE	NE
Mb1167	Rv1135A		i	NE	N/A
Mb1168	Rv1136		i	NE	N/A
Mb1169c	Rv1137c		i	NE	N/A
Mb1170c	Rv1138c		i	NE	NE
Mb1171c	Rv1139c		i	NE	NE
Mb1172	Rv1140		i	NE	NE
Mb1173c	Rv1141c	echA11	i	NE	NE
Mb1174c	Rv1142c	echA10	i	NE	NE
Mb1175	Rv1143	mcr	i	NE	GA
Mb1176	Rv1144		i	NE	GA
Mb1177	Rv1145		v	NE	GA
Mb1178	Rv1147		i	NE	GA
Mb1179c	Rv1148c		i	NE	NE
Mb1180	Rv1149		i	NE	NE
Mb1181	Rv1150		i	NE	N/A
Mb1182c	Rv1151c		i	NE	NE
Mb1183	Rv1152		i	NE	NE
Mb1184c	Rv1153c	omt	v	NE	NE
Mb1185c	Rv1154c		v	NE	NE
Mb1186	Rv1155		v	NE	NE
Mb1187	Rv1156		i	NE	NE
Mb1188c	Rv1157c		i	NE	NE
Mb1189c	Rv1158c		i	NE	NE
Mb1190	Rv1159	pimE	i	NE	NE
Mb1191c	Rv1159A		i	NE	NE
Mb1192	Rv1160	mutT2	i	NE	NE
Mb1193	Rv1161	narG	v	NE	NE
Mb1194	Rv1162	narH	i	NE	NE
Mb1195	Rv1163	narJ	i	NE	NE
Mb1196	Rv1164	narI	v	NE	NE
Mb1197	Rv1165	typA	i	ES	NE
Mb1198	Rv1166	lpqW	i	NE	ES
Mb1199c	Rv1167c		i	NE	NE
Mb1200c	Rv1168c	PPE17	v	NE	NE
Mb1201c	Rv1168c	PPE17	v	NE	NE
Mb1202c	Rv1169c	lipX	i	NE	NE
Mb1203	Rv1170	mshB	i	NE	NE
Mb1204	Rv1171		i	NE	NE
Mb1205c	Rv1172c	PE12	v	GD	NE
Mb1206	Rv1173	fbiC	i	NE	NE
Mb1207c	Rv1174c	TB8.4	i	NE	NE
Mb1208c	Rv1175c	fadH	v	NE	NE
Mb1209c	Rv1176c		i	NE	NE
Mb1210	Rv1177	fdxC	i	NE	ES
Mb1211	Rv1178		v	NE	NE
Mb1212c	Rv1179c		i	NE	NE
Mb1213	Rv1180	pks3	v	NE	NE
Mb1214	Rv1182	papA3	i	NE	NE
Mb1215	Rv1183	mmpL10	i	GD	NE
Mb1216c	Rv1184c		i	NE	NE
Mb1217c	Rv1185c	fadD21	i	NE	NE
Mb1218c	Rv1186c		v	NE	NE
Mb1219	Rv1187	rocA	i	NE	NE
Mb1220	Rv1188		i	NE	NE
Mb1221	Rv1189	sigI	i	NE	NE
Mb1222	Rv1190		i	NE	NE
Mb1223	Rv1191		i	NE	NE
Mb1224	Rv1192		i	GD	NE
Mb1225	Rv1193	fadD36	i	GA	NE
Mb1226c	Rv1194c		i	GA	NE
Mb1227	Rv1195	PE13	i	GA	GA
Mb1228	Rv1196	PPE18	v	GA	GA
Mb1229	Rv1197	esxK	i	GA	GA
Mb1230	Rv1198	esxL	v	GA	GA
Mb1231c	Rv1199c		i	NE	GA
Mb1232	Rv1200		i	NE	GA
Mb1233c	Rv1201c	dapD	i	ES	ES
Mb1234	Rv1202	dapE	i	NE	ES
Mb1235c	Rv1203c		i	NE	NE
Mb1236c	Rv1204c		i	NE	NE
Mb1237	Rv1205		i	NE	NE
Mb1238	Rv1206	fadD6	i	GD	NE
Mb1239	Rv1207	folP2	i	GD	NE
Mb1240	Rv1208	gpgS	i	NE	ES
Mb1241	Rv1209		i	NE	NE
Mb1242	Rv1210	tagA	i	NE	NE
Mb1243	Rv1211		i	NE	NE
Mb1244c	Rv1212c	glgA	v	NE	NE
Mb1245	Rv1213	glgC	i	NE	NE
Mb1246c	Rv1214c	PE14	v	NE	NE
Mb1247c	Rv1215c		v	NE	NE
Mb1248c	Rv1216c		i	NE	NE
Mb1249c	Rv1217c		v	NE	NE
Mb1250c	Rv1218c		v	NE	NE
Mb1251c	Rv1219c		i	NE	NE
Mb1252c	Rv1220c		i	ES	NE
Mb1253	Rv1221	sigE	i	NE	NE
Mb1254	Rv1222	rseA	i	ES	NE
Mb1255	Rv1223	htrA	v	NE	ES
Mb1256	Rv1224	tatB	v	NE	GD
Mb1257c	Rv1225c		i	NE	NE
Mb1258c	Rv1226c		v	NE	NE
Mb1259c	Rv1227c		i	NE	NE
Mb1260	Rv1228	lpqX	i	ES	NE
Mb1261c	Rv1229c	mrp	i	NE	ES
Mb1262c	Rv1230c		v	NE	NE
Mb1263c	Rv1231c		i	NE	NE
Mb1264c	Rv1232c		v	NE	NE
Mb1265c	Rv1233c		v	NE	NE
Mb1266	Rv1234		i	NE	NE
Mb1267	Rv1235	lpqY	i	NE	NE
Mb1268	Rv1236	sugA	i	NE	NE
Mb1269	Rv1237	sugB	i	NE	NE
Mb1270	Rv1238	sugC	i	NE	NE
Mb1271c	Rv1239c	corA	v	NE	NE
Mb1272	Rv1240	mdh	i	NE	NE
Mb1273	Rv1241	vapB33	i	NE	NE
Mb1274	Rv1242	vapC33	i	NE	NE
Mb1275c	Rv1243c	PE_PGRS23	i	NE	NE
Mb1276	Rv1244	lpqZ	v	NE	NE
Mb1277c	Rv1245c		i	NE	NE
Mb1278c	Rv1246c	relE	i	NE	NE
Mb1279c	Rv1247c	relB	i	NE	NE
Mb1280c	Rv1248c		v	NE	NE
Mb1281c	Rv1249c		v	NE	NE
Mb1282	Rv1250		v	NE	NE
Mb1283c	Rv1251c		i	NE	NE
Mb1284c	Rv1252c	lprE	i	NE	NE
Mb1285	Rv1253	deaD	v	ES	NE
Mb1286	Rv1254		i	NE	ES
Mb1287c	Rv1257c		v	NE	NE
Mb1288c	Rv1258c		i	NE	NE
Mb1289	Rv1259	udgB	i	GD	NE
Mb1290	Rv1260		v	NE	NE
Mb1291	Rv1260		v	NE	NE
Mb1292c	Rv1261c		i	NE	NE
Mb1293c	Rv1262c		v	NE	NE
Mb1294	Rv1263	amiB2	i	NE	NE
Mb1295	Rv1264		v	NE	NE
Mb1296	Rv1265		i	NE	NE
Mb1297c	NA		v	NE	N/A
Mb1297cA	NA(MAF_12860)		v	NE	N/A
Mb1297cB	NA(MAF_12870)		v	NE	N/A
Mb1298c	Rv1267c	embR	i	NE	NE
Mb1299c	Rv1268c		i	NE	NE
Mb1300c	Rv1269c		i	NE	NE
Mb1301c	Rv1270c	lprA	v	NE	NE
Mb1302c	Rv1271c		i	NE	NE
Mb1303c	Rv1272c		i	NE	NE
Mb1304c	Rv1273c		i	GD	NE
Mb1305	Rv1274	lprB	v	GD	NE
Mb1306	Rv1275	lprC	i	GD	NE
Mb1307c	Rv1276c		v	NE	NE
Mb1308	Rv1277		i	NE	NE
Mb1309	Rv1278		i	NE	NE
Mb1310	Rv1279		i	NE	NE
Mb1311c	Rv1280c	oppA	i	NE	NE
Mb1312c	Rv1281c	oppD	i	NE	NE
Mb1313c	Rv1282c	oppC	i	NE	NE
Mb1314c	Rv1283c	oppB	i	NE	NE
Mb1315	Rv1284	canA	i	ES	NE
Mb1316	Rv1285	cysD	i	ES	NE
Mb1317	Rv1286		v	NE	GD
Mb1318	Rv1287		i	NE	NE
Mb1319	Rv1288		v	NE	NE
Mb1320	Rv1289		i	NE	NE
Mb1321c	Rv1290c		i	NE	NE
Mb1322	Rv1290A		i	NE	NE
Mb1323c	Rv1291c		i	GD	NE
Mb1324	Rv1292	argS	i	ES	ES
Mb1325	Rv1293	lysA	i	ES	ES
Mb1326	Rv1294	thrA	i	ES	ES
Mb1327	Rv1295	thrC	i	ES	ES
Mb1328	Rv1296	thrB	i	ES	ES
Mb1329	Rv1297	rho	i	GA	ES
Mb1330	Rv1298	rpmE	i	ES	NE
Mb1331	Rv1299	prfA	i	NE	ES
Mb1332	Rv1300	hemK	v	NE	GD
Mb1333	Rv1301		v	ES	GD
Mb1334	Rv1302	rfe	v	GD	ES
Mb1335	Rv1303		i	GD	GA
Mb1336	Rv1304	atpB	i	ES	GD
Mb1337	Rv1305	atpE	i	ES	GD
Mb1338	Rv1306	atpF	i	ES	ES
Mb1339	Rv1307	atpH	i	ES	ES
Mb1340	Rv1308	atpA	i	ES	ES
Mb1341	Rv1309	atpG	i	ES	ES
Mb1342	Rv1310	atpD	i	ES	ES
Mb1343	Rv1311	atpC	i	NE	NE
Mb1344	Rv1312		v	NE	NE
Mb1345c	Rv1313c		v	NE	NE
Mb1346c	Rv1313c		v	NE	NE
Mb1347c	Rv1314c		i	ES	NE
Mb1348	Rv1315	murA	i	ES	ES
Mb1349c	Rv1316c	ogt	i	GA	NE
Mb1350c	Rv1317c	alkA	v	NE	NE
Mb1351c	Rv1317c	alkA	v	NE	NE
Mb1352c	Rv1318c		i	NE	NE
Mb1353c	Rv1319c		i	NE	NE
Mb1354c	Rv1320c		v	NE	NE
Mb1355	Rv1321		v	NE	NE
Mb1356	Rv1322		i	NE	NE
Mb1357c	Rv1322A		i	NE	NE
Mb1358	Rv1323	fadA4	i	NE	NE
Mb1359	Rv1324		i	NE	NE
Mb1360c	Rv1325c	PE_PGRS24	v	ES	NE
Mb1361c	Rv1326c	glgB	v	ES	ES
Mb1362c	Rv1327c	glgE	i	NE	ES
Mb1363	Rv1328	glgP	v	NE	NE
Mb1364c	Rv1329c	dinG	i	NE	NE
Mb1365c	Rv1330c	pncB1	v	NE	NE
Mb1366	Rv1331		i	NE	NE
Mb1367	Rv1332		i	NE	NE
Mb1368	Rv1333		i	NE	NE
Mb1369	Rv1334	mec	i	NE	GA
Mb1370	Rv1335	cysO	i	NE	GA
Mb1371	Rv1336	cysM	i	NE	GA
Mb1372	Rv1337		i	NE	GA
Mb1373	Rv1338	murI	i	ES	ES
Mb1374	Rv1339		i	NE	NE
Mb1375	Rv1340	rphA	v	NE	NE
Mb1376	Rv1341		i	ES	NE
Mb1377c	Rv1342c		i	ES	GD
